Nama Tempat,Kategori,Area,Rating,Harga,Latitude,Longitude,Google Maps Link
Umbira,Cafe,Bandung Kota,4.5,Rp 25–50,-6.916803,107.6092584,https://www.google.com/maps/place/Umbira/data=!4m7!3m6!1s0x2e68e7cbbf98f617:0x155dfc36e3947155!8m2!3d-6.916803!4d107.6092584!16s%2Fg%2F11r106sfrk!19sChIJF_aYv8vnaC4RVXGU4zb8XRU?authuser=0&hl=id&rclk=1
Little Contrast Braga,Cafe,Bandung Kota,4.7,Rp 25–50,-6.916252,107.6091331,https://www.google.com/maps/place/Little+Contrast+Braga/data=!4m7!3m6!1s0x2e68e79b65e81ce9:0xa2a34c2b8b93d744!8m2!3d-6.916252!4d107.6091331!16s%2Fg%2F11nnlj7hv0!19sChIJ6RzoZZvnaC4RRNeTiytMo6I?authuser=0&hl=id&rclk=1
Fifty One Braga St,Cafe,Bandung Kota,4.8,Rp 25–50,-6.9185089,107.609426,https://www.google.com/maps/place/Fifty+One+Braga+St/data=!4m7!3m6!1s0x2e68e70c141d1627:0x185ee774437e10b2!8m2!3d-6.9185089!4d107.609426!16s%2Fg%2F11wy0n11tl!19sChIJJxYdFAznaC4RshB-Q3TnXhg?authuser=0&hl=id&rclk=1
Braga Art Cafe,Cafe,Bandung Kota,4.5,Rp 50.000 - Rp 100.000,-6.9170905,107.6093533,https://www.google.com/maps/place/Braga+Art+Cafe/data=!4m7!3m6!1s0x2e68e63aa44fffc7:0x25be16158aa6abd5!8m2!3d-6.9170905!4d107.6093533!16s%2Fg%2F11bxfwnllz!19sChIJx_9PpDrmaC4R1aumihUWviU?authuser=0&hl=id&rclk=1
Le Braga Coffee & Kitchenette,Cafe,Bandung Kota,4.6,Rp 25–50,-6.9198012,107.6098736,https://www.google.com/maps/place/Le+Braga+Coffee+%26+Kitchenette/data=!4m7!3m6!1s0x2e68e70070cc91a5:0x1aa329260bb429c6!8m2!3d-6.9198012!4d107.6098736!16s%2Fg%2F11lyc9ktzq!19sChIJpZHMcADnaC4Rxim0CyYpoxo?authuser=0&hl=id&rclk=1
Tanatap Coffee Braga,Cafe,Bandung Kota,4.8,Rp 50–75,-6.9169338,107.6091062,https://www.google.com/maps/place/Tanatap+Coffee+Braga/data=!4m7!3m6!1s0x2e68e7d6f0cedcc7:0xcee36f004c51a97a!8m2!3d-6.9169338!4d107.6091062!16s%2Fg%2F11w1cjtfd9!19sChIJx9zO8NbnaC4ReqlRTABv484?authuser=0&hl=id&rclk=1
WIKIKOFFIE,Cafe,Bandung Kota,4.4,Rp 25–50,-6.9160069,107.6091033,https://www.google.com/maps/place/WIKIKOFFIE/data=!4m7!3m6!1s0x2e68e63a84d9d16b:0x2798dba3f4007490!8m2!3d-6.9160069!4d107.6091033!16s%2Fg%2F11bbx0fyfs!19sChIJa9HZhDrmaC4RkHQA9KPbmCc?authuser=0&hl=id&rclk=1
Myloc Coffee & Cafe,Cafe,Bandung Kota,4.7,Rp 25–50,-6.9166466,107.6090425,https://www.google.com/maps/place/Myloc+Coffee+%26+Cafe/data=!4m7!3m6!1s0x2e68e795dac24567:0xd0990b768723ca0b!8m2!3d-6.9166466!4d107.6090425!16s%2Fg%2F11bxdts95s!19sChIJZ0XC2pXnaC4RC8ojh3YLmdA?authuser=0&hl=id&rclk=1
Koffie braga,Cafe,Bandung Kota,4.6,Rp 25–50,-6.917558,107.6092683,https://www.google.com/maps/place/Koffie+braga/data=!4m7!3m6!1s0x2e68e7221b79b71b:0x3da998440319205c!8m2!3d-6.917558!4d107.6092683!16s%2Fg%2F11fm3pvsw2!19sChIJG7d5GyLnaC4RXCAZA0SYqT0?authuser=0&hl=id&rclk=1
TOMORO COFFEE - Braga,Cafe,Bandung Kota,4.9,Rp 25–50,-6.9177825,107.6095138,https://www.google.com/maps/place/TOMORO+COFFEE+-+Braga/data=!4m7!3m6!1s0x2e68e7003856c67f:0xee04f6e357ccd44e!8m2!3d-6.9177825!4d107.6095138!16s%2Fg%2F11vy3zss36!19sChIJf8ZWOADnaC4RTtTMV-P2BO4?authuser=0&hl=id&rclk=1
CUPOLA ID BRAGA,Cafe,Bandung Kota,4.4,Rp 25–50,-6.9187945,107.6094866,https://www.google.com/maps/place/CUPOLA+ID+BRAGA/data=!4m7!3m6!1s0x2e68e737714daa0f:0x55c5f15ee61c8584!8m2!3d-6.9187945!4d107.6094866!16s%2Fg%2F11lgfwsj1r!19sChIJD6pNcTfnaC4RhIUc5l7xxVU?authuser=0&hl=id&rclk=1
Shooters Pool & Café Braga ShCabra,Cafe,Bandung Kota,4.7,Rp 50.000 (Estimasi),-6.9155878,107.6088351,https://www.google.com/maps/place/Shooters+Pool+%26+Caf%C3%A9+Braga+ShCabra/data=!4m7!3m6!1s0x2e68e779d76e82bd:0x6c940627fce1837c!8m2!3d-6.9155878!4d107.6088351!16s%2Fg%2F11sqxptrnp!19sChIJvYJu13nnaC4RfIPh_CcGlGw?authuser=0&hl=id&rclk=1
Kopi Cantel Braga,Cafe,Bandung Kota,4.7,Rp 25–50,-6.9166996,107.6091843,https://www.google.com/maps/place/Kopi+Cantel+Braga/data=!4m7!3m6!1s0x2e68e700543c5d2b:0x44d266569f555c29!8m2!3d-6.9166996!4d107.6091843!16s%2Fg%2F11wqy60v2s!19sChIJK108VADnaC4RKVxVn1Zm0kQ?authuser=0&hl=id&rclk=1
Feel Matcha - Braga Bandung,Cafe,Bandung Kota,4.8,Rp 25–50,-6.9172311,107.609325,https://www.google.com/maps/place/Feel+Matcha+-+Braga+Bandung/data=!4m7!3m6!1s0x2e68e7be52223185:0x1bf2855bf00145da!8m2!3d-6.9172311!4d107.609325!16s%2Fg%2F11khkgd31d!19sChIJhTEiUr7naC4R2kUB8FuF8hs?authuser=0&hl=id&rclk=1
Limarasa Braga,Cafe,Bandung Kota,4.3,Rp 25–50,-6.9184401,107.60963,https://www.google.com/maps/place/Limarasa+Braga/data=!4m7!3m6!1s0x2e68e62ff87d8615:0xa6b85f42bfbf93f5!8m2!3d-6.9184401!4d107.60963!16s%2Fg%2F11gbtfw2dh!19sChIJFYZ9-C_maC4R9ZO_v0JfuKY?authuser=0&hl=id&rclk=1
De Grote Cafe,Cafe,Bandung Kota,4.1,Rp 50.000 (Estimasi),-6.8531029,107.647345,https://www.google.com/maps/place/De+Grote+Cafe/data=!4m7!3m6!1s0x2e68e704f99978e3:0xa5086605b136e3b9!8m2!3d-6.8531029!4d107.647345!16s%2Fg%2F11sfh561k8!19sChIJ43iZ-QTnaC4RueM2sQVmCKU?authuser=0&hl=id&rclk=1
The Stone Cafe TSC,Cafe,Bandung Kota,4.8,Rp 50.000 (Estimasi),-6.8653196,107.6266701,https://www.google.com/maps/place/The+Stone+Cafe+TSC/data=!4m7!3m6!1s0x2e68e721e5777573:0xc2eb6bf4206292a1!8m2!3d-6.8653196!4d107.6266701!16s%2Fg%2F1v1n_9xs!19sChIJc3V35SHnaC4RoZJiIPRr68I?authuser=0&hl=id&rclk=1
Hummingbird Eatery & Space,Cafe,Bandung Kota,3.9,Rp 50.000 (Estimasi),-6.9049008,107.6183802,https://www.google.com/maps/place/Hummingbird+Eatery+%26+Space/data=!4m7!3m6!1s0x2e68e64bab32ae69:0x762cf46343d39f96!8m2!3d-6.9049008!4d107.6183802!16s%2Fg%2F11b6b5k3hy!19sChIJaa4yq0vmaC4Rlp_TQ2P0LHY?authuser=0&hl=id&rclk=1
Atmosphere Resort Café,Cafe,Bandung Kota,4.7,Rp 50.000 (Estimasi),-6.926646,107.613321,https://www.google.com/maps/place/Atmosphere+Resort+Caf%C3%A9/data=!4m7!3m6!1s0x2e68e88260d018eb:0x1c6eff3b5082d2d1!8m2!3d-6.926646!4d107.613321!16s%2Fg%2F1jkybm02w!19sChIJ6xjQYILoaC4R0dKCUDv_bhw?authuser=0&hl=id&rclk=1
Jardin Cafe,Cafe,Bandung Kota,4.1,Rp 50.000 (Estimasi),-6.9054325,107.6201107,https://www.google.com/maps/place/Jardin+Cafe/data=!4m7!3m6!1s0x2e68e735987a6103:0x1b5eb768dcb08b22!8m2!3d-6.9054325!4d107.6201107!16s%2Fg%2F11f7426r9k!19sChIJA2F6mDXnaC4RIouw3Gi3Xhs?authuser=0&hl=id&rclk=1
Bober Backyard,Cafe,Bandung Kota,3.8,Rp 50.000 (Estimasi),-6.8857316,107.6478751,https://www.google.com/maps/place/Bober+Backyard/data=!4m7!3m6!1s0x2e68e7e1096ac415:0x80cbcc44885c0c2d!8m2!3d-6.8857316!4d107.6478751!16s%2Fg%2F11n1917g11!19sChIJFcRqCeHnaC4RLQxciETMy4A?authuser=0&hl=id&rclk=1
Congo Gallery & Cafe,Cafe,Bandung Kota,3.9,Rp 50.000 (Estimasi),-6.8674313,107.6278059,https://www.google.com/maps/place/Congo+Gallery+%26+Cafe/data=!4m7!3m6!1s0x2e68e718d3dba3f3:0x41c75ebcfc18378!8m2!3d-6.8674313!4d107.6278059!16s%2Fg%2F1tk69_3z!19sChIJ86Pb0xjnaC4ReIPBz-t1HAQ?authuser=0&hl=id&rclk=1
Bober Cafe,Cafe,Bandung Kota,4.4,Rp 50.000 (Estimasi),-6.9071672,107.6233605,https://www.google.com/maps/place/Bober+Cafe/data=!4m7!3m6!1s0x2e68e7cbe5acba15:0x42b78a74e96a16ec!8m2!3d-6.9071672!4d107.6233605!16s%2Fg%2F1hd_skxqy!19sChIJFbqs5cvnaC4R7BZq6XSKt0I?authuser=0&hl=id&rclk=1
OROFI CAFE,Cafe,Bandung Kota,4.8,Rp 50.000 (Estimasi),-6.862802,107.633551,https://www.google.com/maps/place/OROFI+CAFE/data=!4m7!3m6!1s0x2e68e73cd4141171:0x13afe705a7c183d2!8m2!3d-6.862802!4d107.633551!16s%2Fg%2F11bbyftlyb!19sChIJcREU1DznaC4R0oPBpwXnrxM?authuser=0&hl=id&rclk=1
One Eighty Coffee and Music,Cafe,Bandung Kota,4.5,Rp 50.000 (Estimasi),-6.8939157,107.6124801,https://www.google.com/maps/place/One+Eighty+Coffee+and+Music/data=!4m7!3m6!1s0x2e68e650e167c1ab:0xdcc35bc2a4e6d1b1!8m2!3d-6.8939157!4d107.6124801!16s%2Fg%2F11cs125fcc!19sChIJq8Fn4VDmaC4RsdHmpMJbw9w?authuser=0&hl=id&rclk=1
District Dago Cafe & Resto,Cafe,Dago,4.5,Rp 50–75,-6.8753339,107.6184941,https://www.google.com/maps/place/District+Dago+Cafe+%26+Resto/data=!4m7!3m6!1s0x2e68e72634a32bf5:0xfa6cf69a4a2719de!8m2!3d-6.8753339!4d107.6184941!16s%2Fg%2F11h0ms3tcp!19sChIJ9SujNCbnaC4R3hknSpr2bPo?authuser=0&hl=id&rclk=1
Dreams Social Life,Cafe,Dago,4.1,Rp 25–75,-6.8803035,107.6164488,https://www.google.com/maps/place/Dreams+Social+Life/data=!4m7!3m6!1s0x2e68e72256f2ae07:0x2c58eb4588f8bb50!8m2!3d-6.8803035!4d107.6164488!16s%2Fg%2F11s7c8z8l8!19sChIJB67yViLnaC4RULv4iEXrWCw?authuser=0&hl=id&rclk=1
